Date,flux_primaire_pro_format,instance,recus
2020-05-01,FLUX AD,SAV,3.0
2020-05-01,FLUX RPC,COMMERCE,323.0
2020-05-01,FLUX RPC SAV AUTOLOC,SAV,54.0
2020-05-01,FLUX RPC SAV COMPLEX,SAV,15.0
2020-05-01,FLUX UNIF,COMMERCE,9.0
2020-05-01,FLUX UNIF,SAV,216.0
2020-05-02,FLUX AD,SAV,1.0
2020-05-02,FLUX RPC,COMMERCE,247.0
2020-05-02,FLUX RPC SAV AUTOLOC,SAV,29.0
2020-05-02,FLUX RPC SAV COMPLEX,SAV,17.0
2020-05-02,FLUX UNIF,COMMERCE,7.0
2020-05-02,FLUX UNIF,SAV,206.0
2020-05-03,FLUX AD,SAV,3.0
2020-05-03,FLUX RPC,COMMERCE,165.0
2020-05-03,FLUX RPC SAV AUTOLOC,SAV,37.0
2020-05-03,FLUX RPC SAV COMPLEX,SAV,7.0
2020-05-03,FLUX UNIF,COMMERCE,3.0
2020-05-03,FLUX UNIF,SAV,144.0
2020-05-04,FLUX AD,SAV,106.0
2020-05-04,FLUX RPC,COMMERCE,1259.0
2020-05-04,FLUX RPC SAV AUTOLOC,SAV,730.0
2020-05-04,FLUX RPC SAV COMPLEX,SAV,194.0
2020-05-04,FLUX UNIF,COMMERCE,92.0
2020-05-04,FLUX UNIF,SAV,653.0
2020-05-05,FLUX AD,SAV,126.0
2020-05-05,FLUX RPC,COMMERCE,1349.0
2020-05-05,FLUX RPC SAV AUTOLOC,SAV,694.0
2020-05-05,FLUX RPC SAV COMPLEX,SAV,199.0
2020-05-05,FLUX UNIF,COMMERCE,101.0
2020-05-05,FLUX UNIF,SAV,799.0
2020-05-06,FLUX AD,SAV,93.0
2020-05-06,FLUX RPC,COMMERCE,1302.0
2020-05-06,FLUX RPC SAV AUTOLOC,SAV,825.0
2020-05-06,FLUX RPC SAV COMPLEX,SAV,200.0
2020-05-06,FLUX UNIF,COMMERCE,80.0
2020-05-06,FLUX UNIF,SAV,874.0
2020-05-07,FLUX AD,SAV,72.0
2020-05-07,FLUX RPC,COMMERCE,1114.0
2020-05-07,FLUX RPC SAV AUTOLOC,SAV,720.0
2020-05-07,FLUX RPC SAV COMPLEX,SAV,241.0
2020-05-07,FLUX UNIF,COMMERCE,80.0
2020-05-07,FLUX UNIF,SAV,634.0
2020-05-08,FLUX AD,SAV,5.0
2020-05-08,FLUX RPC SAV AUTOLOC,SAV,64.0
2020-05-08,FLUX RPC SAV COMPLEX,SAV,35.0
2020-05-08,FLUX UNIF,COMMERCE,2.0
2020-05-08,FLUX UNIF,SAV,278.0
2020-05-09,FLUX AD,SAV,2.0
2020-05-09,FLUX RPC SAV AUTOLOC,SAV,47.0
2020-05-09,FLUX RPC SAV COMPLEX,SAV,18.0
2020-05-09,FLUX UNIF,COMMERCE,6.0
2020-05-09,FLUX UNIF,SAV,255.0
2020-05-10,FLUX AD,SAV,2.0
2020-05-10,FLUX RPC SAV AUTOLOC,SAV,42.0
2020-05-10,FLUX RPC SAV COMPLEX,SAV,38.0
2020-05-10,FLUX UNIF,COMMERCE,9.0
2020-05-10,FLUX UNIF,SAV,176.0
2020-05-11,FLUX AD,SAV,109.0
2020-05-11,FLUX RPC,COMMERCE,2685.0
2020-05-11,FLUX RPC SAV AUTOLOC,SAV,853.0
2020-05-11,FLUX RPC SAV COMPLEX,SAV,218.0
2020-05-11,FLUX UNIF,COMMERCE,90.0
2020-05-11,FLUX UNIF,SAV,670.0
2020-05-12,FLUX AD,SAV,100.0
2020-05-12,FLUX RPC,COMMERCE,1332.0
2020-05-12,FLUX RPC SAV AUTOLOC,SAV,809.0
2020-05-12,FLUX RPC SAV COMPLEX,SAV,224.0
2020-05-12,FLUX UNIF,COMMERCE,68.0
2020-05-12,FLUX UNIF,SAV,674.0
2020-05-13,FLUX AD,SAV,75.0
2020-05-13,FLUX RPC,COMMERCE,1276.0
2020-05-13,FLUX RPC SAV AUTOLOC,SAV,681.0
2020-05-13,FLUX RPC SAV COMPLEX,SAV,209.0
2020-05-13,FLUX UNIF,COMMERCE,79.0
2020-05-13,FLUX UNIF,SAV,712.0
2020-05-14,FLUX AD,SAV,82.0
2020-05-14,FLUX RPC,COMMERCE,1243.0
